text,true_label,predicted_label,prob_factual,prob_hallucination,confidence
"Knowledge: ""Say Yes"" is the twelfth episode of the seventh season and 95th episode overall of the post-apocalyptic horror television series ""The Walking Dead"", which aired on AMC on March 5, 2017.The seventh season of ""The Walking Dead"", an American post-apocalyptic horror television series on AMC, premiered on October 23, 2016, and concluded on April 2, 2017, consisting of 16 episodes.
Question: Say Yes is the 12th episode of the horror series shown on which cable network?
Answer: Syfy",1,0,0.8149147650269486,0.1850852349730514,0.8149147650269486
"Knowledge: Jonathan Frederick ""J. F."" Lawton (born August 11, 1960) is an American screenwriter, producer and director.Shawn Levy (born July 23, 1968) is a Canadian film director, producer, and actor.
Question: What film title does J. F. Lawton and Shawn Levy have in common?
Answer: J. F. Lawton and Shawn Levy have no film title in common.",1,0,0.744295834907061,0.255704165092939,0.744295834907061
"Knowledge:  The panel issued many reports between 1991 and 1999, and it was discontinued by the No Child Left Behind Act which became law in January, 2002.The No Child Left Behind Act of 2001 (NCLB) was a U.S. Act of Congress that reauthorized the Elementary and Secondary Education Act; it included Title I provisions applying to disadvantaged students.
Question: The National Education Goals Panel discontinued their reports by the Act that reauthorized which piece of legislation?
Answer: The National Education Goals Panel discontinued their reports by the No Child Left Behind Act.",1,0,0.7157394531348373,0.2842605468651627,0.7157394531348373
"Knowledge:  He holds notable wins over Gago Drago, Luis Reis, Andy Souwer and Artur Kyshenko. He is two time K-1 World MAX champion (2005, 2007) as well as a four time Shootboxing World tournament champion, fighting out of Mejiro Gym, Amsterdam, Netherlands.
Question: Abraham Roqueñi Iglesias (born April 16, 1978) is a Spanish welterweight kickboxer, he holds notable wins over Andy Souwer, a Dutch welterweight shoot boxer, a two time K-1 World MAX champion, in which years?
Answer: Abraham Roqueñi Iglesias holds notable wins over Andy Souwer, the Dutch welterweight shoot boxer, who he defeated in 2005 and 2015.",1,0,0.701602564283859,0.29839743571614097,0.701602564283859
"Knowledge: The Old Fashioned is a cocktail made by muddling sugar with bitters, then adding alcohol, such as whiskey or brandy, and a twist of citrus rind.A gin and tonic is a highball cocktail made with gin and tonic water poured over ice. It is usually garnished with a slice or wedge of lime.
Question: Which of the following is usually garnished with a slice of lime: Old Fashioned or Gin and tonic?
Answer: Old Fashioned is typically garnished with an orange twist.",1,0,0.6916801356263793,0.30831986437362074,0.6916801356263793
"Knowledge: No Trace Camping is a Canadian–American independent feature film and television financier and production company based in Toronto and Los Angeles. Founded in 2008, the company produced the films ""Goon"", ""The F Word"" (aka ""What If"") and ""Room"", as well as """". is a 2013 Canadian romantic comedy film directed by Michael Dowse and written by Elan Mastai, based on TJ Dawe and Michael Rinaldi's play ""Toothpaste and Cigars"".
Question: No Trace Camping is a Canadian–American independent feature film and television financier and production company which produced the film, ""The F Word”, a 2013 Canadian romantic comedy film directed by who?
Answer: No Trace Camping is a Canadian–American independent feature film and television financier and production company which produced the film ""The F Word"", a 2013 Canadian action film directed by Michael Dowse.",1,0,0.6840481546584423,0.3159518453415578,0.6840481546584423
"Knowledge: ""It's Raining"" is a Korean language song, and the first single from the third album, by Korean R&B singer, Rain.Jung Ji-hoon (, born June 25, 1982), better known by his stage name Rain (Korean 비 IPA ['piː]), is a South Korean singer-songwriter, actor, and music producer.
Question: What is the title of Jung Ji-hoon's first single from his third album? 
Answer: ""Rainy Days""",1,0,0.6825942934718008,0.31740570652819916,0.6825942934718008
"Knowledge: The Acolytes Protection Agency (APA) was a professional wrestling tag team that consisted of Bradshaw (John Layfield) and Faarooq (Ron Simmons).John Charles Layfield (born November 29, 1966), better known by the ring name John ""Bradshaw"" Layfield (abbreviated JBL), is an American color commentator and retired professional wrestler and formerly part of the broadcast team on ""SmackDown"" and pay-per-view events.
Question: The Acolytes Protection Agency consisted of what wrestler born November 29, 1966
Answer: The Acolytes Protection Agency consisted of Faarooq.",1,0,0.681080314804199,0.31891968519580105,0.681080314804199
"Knowledge: Phyllocnistis liriodendronella is a moth of the Gracillariidae family, known from the United States (New York, New Jersey, Maryland, Pennsylvania, Kentucky). The hostplants for the species include ""Liriodendron tulipifera"", ""Magnolia glauca"", ""Magnolia grandiflora"", and ""Magnolia virginiana"".Magnolia grandiflora, commonly known as the southern magnolia or bull bay, is a tree of the family Magnoliaceae native to the southeastern United States, from coastal North Carolina to central Florida, and west to East Texas and Oklahoma.
Question: What is the common name for the hostplant of Phyllocnistis Iiriodendronella that is a tree of the family Magnoliaceae?
Answer: Northern magnolia or red bay.",1,0,0.6792135087646096,0.32078649123539044,0.6792135087646096
"Knowledge: De Mi Alma Latina (also known as From My Latin Soul) is a 1994 Latin music album by Spanish tenor Plácido Domingo.José Plácido Domingo Embil, {'1': "", '2': "", '3': "", '4': ""} (] ; born 21 January 1941), known as Plácido Domingo, is a Spanish tenor, conductor and arts administrator.
Question: What is the name of the Spanish tenor who rereleased De Mi Alma Latina?
Answer: De Mi Alma Latina's tenor changed.",1,0,0.6766096179414988,0.32339038205850124,0.6766096179414988
